id_usuario,nombre_usuario,edad,intereses,biografia
1,Juan_D,28,MUSICA,Me encanta la musica clasica.
2, Santiago ,24,fotografia,
3,Ana_M,32, lectura ,Apasionada de los libros.
4,Carlos_R,19,DEPORTES,
5, Sofia ,21,musica,Solo grabo audios sobre mi banda favorita.
6,Luis_A,29, Viajes ,Amo conocer nuevas culturas.
7,Elena_P,26,arte,
8, david ,35,Musica,
9,Laura_G,22,cocina,
10,Pedro_S,30,deportes,
11,Mar_V,27,Cine,
12,Ricardo_F,31,musica,
13,Eva_H,23,fotografia,
14,pablo ,25, lectura ,
15,Maria_J,34,VIAJES,
16,ANDRES_L,20,arte,
17,Nuria_T,28,musica,
18, SERGIO ,33,cine,
19,ROCIO_C,29,cocina,
20,Javier_Q,36,DEPORTES,
21,Felipe_Z,25,musica,
22, GABRIEL ,30,arte,
23,HELENA_K,22,viajes,
24,IGNACIO_N,24,MUSICA,
25,Julia_D,26, lectura ,Leo mucho.
